solar_ref_shape,wind_ref_shape
0.0496559513660076,1.0
0.03844348826763914,1.0
0.04174115659505891,1.0
0.07453110039820168,1.0
0.056534328115988824,1.0
0.1102421631319732,0.999
0.030717107761207837,0.969
0.0,0.648
0.0,0.912
0.0,0.565
0.0,0.311
0.0,0.226
0.0,0.177
0.0,0.051
0.0,0.0
0.0,0.0
0.0,0.08
0.0,0.212
0.0,0.372
0.0,0.484
0.0,0.796
0.0,0.965
0.08348259232236156,0.954
0.2051256328172206,0.99
0.4447372169504842,0.877
0.5263353874954282,1.0
0.5402802761276643,1.0
0.40130005284252507,1.0
0.40855525812154103,1.0
0.26062354291224193,1.0
0.08913585765461421,0.717
0.0,0.863
0.0,0.642
