solar_bus_fault,fossil_bus_fault,battery_bus_fault
0.0,36.577,0.0
0.0,381.456,0.0
0.0,765.462,0.0
363.553,461.702,0.0
358.827,347.218,0.9999999079541247
1404.926,0.0,-0.9999999079541247
1677.338,0.0,-0.11288942268383832
1744.85,0.0,0.0
1599.361,0.0,0.0
1270.915,0.0,0.0
520.518,215.518,0.0
143.801,553.754,0.0
0.0,809.083,0.0
0.0,816.3220000000001,0.0
0.0,697.721,0.0
0.0,601.431,0.0
0.0,445.132,0.0
0.0,145.156,0.6939633590531932
0.0,0.0,0.24244453873969893
0.0,0.0,0.0635920101612325
0.0,0.0,-0.27082966430219285
0.0,0.0,-0.4708179847664601
0.0,0.0,-0.37124168156931014
0.0,27.408999999999995,0.0
0.0,138.149,0.0
0.0,492.244,0.0
0.0,863.8630000000002,0.0
369.629,432.42,0.9999999079541247
936.73,0.0,-0.4900879964030316
931.6669999999999,0.0,-0.3343050631978485
1638.518,0.0,-0.28849627103708286
1342.14,0.0,0.0
1562.905,0.0,0.0
1242.898,0.0,0.0
780.777,0.0,0.0
233.254,398.849,0.0
0.0,679.026,0.0
0.0,669.906,0.0
0.0,623.045,0.0
0.0,591.203,0.0
0.0,481.482,0.0
0.0,302.414,0.0
0.0,104.435,0.0
0.0,35.556,0.0
0.0,20.531,0.0
0.0,11.715,0.0
0.0,40.739,0.0
0.0,91.225,0.0
0.0,178.79,0.0
0.0,527.962,0.0
0.0,931.5850000000002,0.0
161.691,785.074,0.03062017481938319
946.182,0.0,-0.034079642364829216
309.88,527.916,0.9999999079541247
1668.899,0.0,-0.9999999079541247
1727.972,0.0,-0.11288942268383832
1600.036,0.0,0.0
1288.468,0.0,0.0
796.98,0.0,0.0
244.39400000000003,412.541,0.0
0.0,671.625,0.0
0.0,628.608,0.0
0.0,599.798,0.0
0.0,485.32399999999996,0.0
0.0,394.63000000000005,0.0
0.0,244.271,0.23621555363680313
0.0,0.0,0.7637843543173215
0.0,0.0,-0.022457386229004936
0.0,0.0,-0.4023185838455359
0.0,0.0,-0.5922297474428719
0.0,0.0,-0.0958836131205503
0.0,0.0,0.0
0.0,0.0,0.0
0.0,77.429,0.0
0.0,258.629,0.0
365.578,27.765,0.0
156.966,310.45,0.0
70.213,282.363,0.9999999079541247
780.102,0.0,0.0
1796.497,0.0,-0.8769555875596372
1668.223,0.0,-0.2359337430783258
1340.115,0.0,0.0
831.749,0.0,0.0
260.597,9.147,0.0
0.0,357.59,0.0
0.0,428.465,0.0
0.0,359.566,0.0
0.0,348.689,0.0
0.0,307.442,0.0
0.0,66.791,0.9999999079541247
0.0,0.0,-0.05431169694240961
0.0,0.0,-0.46065336945034624
0.0,0.0,-0.5979242642452072
