hour,t(sec),Tap(pu),Type,Name
372,0.0,1.0,Capacitor,moncapacitor-cap1
373,0.0,1.0,Capacitor,moncapacitor-cap1
374,0.0,1.0,Capacitor,moncapacitor-cap1
375,0.0,1.0,Capacitor,moncapacitor-cap1
376,0.0,1.0,Capacitor,moncapacitor-cap1
377,0.0,1.0,Capacitor,moncapacitor-cap1
378,0.0,1.0,Capacitor,moncapacitor-cap1
379,0.0,1.0,Capacitor,moncapacitor-cap1
380,0.0,1.0,Capacitor,moncapacitor-cap1
381,0.0,1.0,Capacitor,moncapacitor-cap1
382,0.0,1.0,Capacitor,moncapacitor-cap1
383,0.0,1.0,Capacitor,moncapacitor-cap1
384,0.0,1.0,Capacitor,moncapacitor-cap1
385,0.0,1.0,Capacitor,moncapacitor-cap1
386,0.0,1.0,Capacitor,moncapacitor-cap1
387,0.0,1.0,Capacitor,moncapacitor-cap1
388,0.0,1.0,Capacitor,moncapacitor-cap1
389,0.0,1.0,Capacitor,moncapacitor-cap1
390,0.0,1.0,Capacitor,moncapacitor-cap1
391,0.0,1.0,Capacitor,moncapacitor-cap1
392,0.0,1.0,Capacitor,moncapacitor-cap1
393,0.0,1.0,Capacitor,moncapacitor-cap1
394,0.0,1.0,Capacitor,moncapacitor-cap1
395,0.0,1.0,Capacitor,moncapacitor-cap1
396,0.0,1.0,Capacitor,moncapacitor-cap1
397,0.0,1.0,Capacitor,moncapacitor-cap1
398,0.0,1.0,Capacitor,moncapacitor-cap1
399,0.0,1.0,Capacitor,moncapacitor-cap1
400,0.0,1.0,Capacitor,moncapacitor-cap1
401,0.0,1.0,Capacitor,moncapacitor-cap1
402,0.0,1.0,Capacitor,moncapacitor-cap1
403,0.0,1.0,Capacitor,moncapacitor-cap1
404,0.0,1.0,Capacitor,moncapacitor-cap1
405,0.0,1.0,Capacitor,moncapacitor-cap1
406,0.0,1.0,Capacitor,moncapacitor-cap1
407,0.0,1.0,Capacitor,moncapacitor-cap1
408,0.0,1.0,Capacitor,moncapacitor-cap1
409,0.0,1.0,Capacitor,moncapacitor-cap1
410,0.0,1.0,Capacitor,moncapacitor-cap1
411,0.0,1.0,Capacitor,moncapacitor-cap1
412,0.0,1.0,Capacitor,moncapacitor-cap1
413,0.0,1.0,Capacitor,moncapacitor-cap1
414,0.0,1.0,Capacitor,moncapacitor-cap1
415,0.0,1.0,Capacitor,moncapacitor-cap1
416,0.0,1.0,Capacitor,moncapacitor-cap1
417,0.0,1.0,Capacitor,moncapacitor-cap1
418,0.0,1.0,Capacitor,moncapacitor-cap1
419,0.0,1.0,Capacitor,moncapacitor-cap1
420,0.0,1.0,Capacitor,moncapacitor-cap1
421,0.0,1.0,Capacitor,moncapacitor-cap1
422,0.0,1.0,Capacitor,moncapacitor-cap1
423,0.0,1.0,Capacitor,moncapacitor-cap1
424,0.0,1.0,Capacitor,moncapacitor-cap1
425,0.0,1.0,Capacitor,moncapacitor-cap1
426,0.0,1.0,Capacitor,moncapacitor-cap1
427,0.0,1.0,Capacitor,moncapacitor-cap1
428,0.0,1.0,Capacitor,moncapacitor-cap1
429,0.0,1.0,Capacitor,moncapacitor-cap1
430,0.0,1.0,Capacitor,moncapacitor-cap1
431,0.0,1.0,Capacitor,moncapacitor-cap1
432,0.0,1.0,Capacitor,moncapacitor-cap1
