hour,671_hospital,634a_supermarket,634b_supermarket,634c_supermarket,645_warehouse1,646_med_office,692_warehouse2,675a_residential1,675b_residential1,675c_residential1,611_hotel,652_med_apartment,670a_residential2,670b_residential2,670c_residential2
110,654.338,116.296,116.296,38.76533333,92.66633333,177.8846667,92.66633333,150.3065971,22.54598957,90.18395826,184.806,63.19825,7.515329855,30.06131942,60.12263884
111,654.717,114.3633333,114.3633333,38.12111111,92.66633333,175.2696667,92.66633333,155.091331,23.26369965,93.0547986,186.881,65.21005,7.75456655,31.0182662,62.0365324
112,653.299,112.5573333,112.5573333,37.51911111,92.66633333,173.7616667,92.66633333,156.2674176,23.44011264,93.76045056,183.234,65.70455,7.81337088,31.25348352,62.50696704
113,637.535,112.8153333,112.8153333,37.60511111,92.66633333,177.957,92.66633333,189.348033,28.40220495,113.6088198,190.8,79.6137,9.46740165,37.8696066,75.7392132
114,635.593,114.2673333,114.2673333,38.08911111,41.493,166.3956667,41.493,195.7639479,29.36459219,117.4583687,216.515,82.31135,9.788197395,39.15278958,78.30557916
115,479.772,109.565,109.565,36.52166667,32.89233333,131.4993333,32.89233333,193.2322105,28.98483158,115.9393263,246.882,81.24685,9.661610525,38.6464421,77.2928842
116,475.82,106.2843333,106.2843333,35.42811111,32.89233333,131.3366667,32.89233333,183.0754128,27.46131192,109.8452477,260.114,76.9763,9.15377064,36.61508256,73.23016512
117,395.146,96.856,96.856,32.28533333,32.89233333,114.4513333,32.89233333,179.1020478,26.86530717,107.4612287,281.691,75.30565,8.95510239,35.82040956,71.64081912
118,376.548,67.405,67.405,22.46833333,32.89233333,114.0793333,32.89233333,155.9332615,23.38998923,93.5599569,268.163,65.56405,7.796663075,31.1866523,62.3733046
119,321.85,44.677,44.677,14.89233333,32.89233333,40.896,32.89233333,124.7088175,18.70632263,74.8252905,208.229,52.43535,6.235440875,24.9417635,49.883527
120,321.939,53.77133333,53.77133333,17.92377778,32.89233333,37.28666667,32.89233333,97.43692805,14.61553921,58.46215683,151.213,40.96855,4.871846403,19.48738561,38.97477122
121,316.031,47.671,47.671,15.89033333,32.89233333,37.28666667,32.89233333,75.9418949,11.39128424,45.56513694,132.303,31.9307,3.797094745,15.18837898,30.37675796
122,315.905,44.59366667,44.59366667,14.86455556,32.89233333,37.28666667,32.89233333,73.04377504,10.95656626,43.82626502,125.633,30.71215,3.652188752,14.60875501,29.21751002
123,315.723,44.24566667,44.24566667,14.74855556,32.89233333,37.28666667,32.89233333,71.27548311,10.69132247,42.76528987,117.562,29.96865,3.563774156,14.25509662,28.51019324
124,317.083,44.08033333,44.08033333,14.69344444,32.89233333,37.28666667,32.89233333,68.10444933,10.2156674,40.8626696,114.429,28.63535,3.405222467,13.62088987,27.24177973
125,384.612,53.07033333,53.07033333,17.69011111,32.89233333,37.28666667,32.89233333,76.0520118,11.40780177,45.63120708,116.623,31.977,3.80260059,15.21040236,30.42080472
126,387.093,53.09533333,53.09533333,17.69844444,32.89233333,40.896,32.89233333,94.41287535,14.1619313,56.64772521,136.653,39.69705,4.720643768,18.88257507,37.76515014
127,524.82,72.31766667,72.31766667,24.10588889,43.28366667,95.016,43.28366667,117.1873337,17.57810006,70.31240022,211.147,49.27285,5.859366685,23.43746674,46.87493348
128,598.257,70.795,70.795,23.59833333,53.109,103.3256667,53.109,115.7240632,17.35860948,69.43443792,232.858,48.6576,5.78620316,23.14481264,46.28962528
129,611.037,96.60833333,96.60833333,32.20277778,76.57566667,178.7476667,76.57566667,155.4943399,23.32415099,93.29660394,225.222,65.3795,7.774716995,31.09886798,62.19773596
130,625.433,114.4816667,114.4816667,38.16055556,92.66633333,174.7956667,92.66633333,163.5995859,24.53993789,98.15975154,226.757,68.78745,8.179979295,32.71991718,65.43983436
